date,gen_mwh,latent_mwh,suppression_pct,censored
2024-09-25,296299.0,285858.84,-3.523520582249684,1
2024-09-26,274682.0,275981.62,0.47313802870228017,1
2024-09-27,261148.5,267007.56,2.243575015747745,1
2024-09-28,291495.0,300684.88,3.1526698571159084,1
2024-09-29,312262.0,314570.72,0.7393530913143431,1
2024-09-30,318966.5,318587.3,-0.1188800391263678,1
2024-10-01,309470.5,322870.06,4.329835153916117,1
2024-10-02,308092.5,316816.06,2.831475125165328,1
2024-10-03,292384.0,291466.6,-0.3137675967221143,1
2024-10-04,255297.0,261967.08,2.612673915087127,0
2024-10-05,260982.0,267271.25,2.4098405254002087,1
2024-10-06,287239.0,296184.44,3.1142837497693643,1
2024-10-07,299255.0,305780.25,2.1804982372892745,1
2024-10-08,302225.0,307418.8,1.718525105467772,1
2024-10-09,293765.5,304403.4,3.621223816275232,1
2024-10-10,286696.0,302405.16,5.479377546251074,1
2024-10-11,278968.5,283518.53,1.631019720864546,1
2024-10-12,289034.5,300519.5,3.973574088906351,1
2024-10-13,292937.5,315656.78,7.755675272029006,1
2024-10-14,298260.0,311857.28,4.558868520753712,1
2024-10-15,296827.5,308171.72,3.8218220178386497,1
2024-10-16,295539.0,313089.5,5.9384717414622035,1
2024-10-17,283124.5,299534.06,5.79588220023346,1
2024-10-18,266582.0,272116.25,2.0760028809146958,1
2024-10-19,277560.0,281610.66,1.4593804042369207,1
2024-10-20,284236.5,300235.88,5.628895303734738,1
2024-10-21,285688.0,301101.84,5.395341683934918,1
2024-10-22,292930.0,303048.7,3.4543022223739506,1
2024-10-23,290913.0,277497.6,-4.611483931622173,1
2024-10-24,252801.5,253534.31,0.2898766423458765,1
2024-10-25,235400.0,230611.5,-2.034197111299918,0
2024-10-26,266313.5,267516.3,0.4516528452369162,1
2024-10-27,282297.0,299681.5,6.158230516087659,1
2024-10-28,285582.5,301470.47,5.563355160067585,1
2024-10-29,284300.0,300659.38,5.754264861062253,1
2024-10-30,281827.0,302381.22,7.293204252963692,1
2024-10-31,275710.5,306625.3,11.21278025320036,1
2024-11-01,270037.0,274219.38,1.5488155326862652,1
2024-11-02,270127.0,274920.88,1.774674504955076,1
2024-11-03,275953.0,284362.28,3.047359967095842,1
2024-11-04,277416.5,279013.88,0.5758038905400387,1
2024-11-05,273978.5,277289.1,1.2083407092162268,1
2024-11-06,248914.0,269121.25,8.118165310107095,1
2024-11-07,256698.0,262488.75,2.255860972816315,0
2024-11-08,231468.5,233857.62,1.0321598835262735,0
2024-11-09,241682.0,243582.64,0.7864220856331983,1
2024-11-10,251742.0,255518.92,1.5003145581587551,1
2024-11-11,253289.5,255320.12,0.8017012154076575,1
2024-11-12,254836.5,254518.84,-0.12465100172071031,1
2024-11-13,251460.0,249447.78,-0.8002142487870789,1
2024-11-14,247085.5,243162.78,-1.5875956905605504,1
2024-11-15,219228.0,215294.12,-1.794421789187517,0
2024-11-16,220068.0,221701.84,0.7424267726339195,0
2024-11-17,223410.5,230117.19,3.00195715957845,0
2024-11-18,218744.5,228283.3,4.360702497662805,0
2024-11-19,220532.5,229009.84,3.8440337591964857,0
2024-11-20,221923.0,227419.1,2.4765768982935477,0
2024-11-21,220366.5,227005.66,3.012779279064648,0
2024-11-22,195966.5,203099.0,3.6396526957413577,0
2024-11-23,207103.5,214877.11,3.7534901027747036,0
2024-11-24,213834.0,222053.52,3.8438768507346843,0
2024-11-25,210737.0,220982.67,4.861828665587908,0
2024-11-26,212790.0,219732.9,3.262797241411719,0
2024-11-27,213121.0,218871.44,2.698203133431254,0
2024-11-28,215314.5,218241.16,1.359247170998712,0
2024-11-29,199417.0,200860.94,0.7240794415721785,0
2024-11-30,210173.5,213560.83,1.61168183667304,0
2024-12-01,218074.0,222633.66,2.0908756889863156,0
2024-12-02,216594.0,219920.11,1.535642434693485,0
2024-12-03,216976.5,218645.92,0.769402158759136,0
2024-12-04,216082.0,218603.8,1.1670555043918451,1
2024-12-05,214673.0,217143.31,1.1507327423569746,0
2024-12-06,192865.0,195319.9,1.2728624944909672,0
2024-12-07,195592.5,201710.75,3.1280596137377437,0
2024-12-08,207872.5,213279.75,2.6012339294519515,0
2024-12-09,206798.0,213785.6,3.3789464840085603,0
2024-12-10,209960.5,212260.31,1.095354840553342,0
2024-12-11,206184.5,212472.36,3.049627578697711,0
2024-12-12,206233.0,210312.45,1.9780797083880808,0
2024-12-13,189642.0,192054.23,1.2719937434745532,0
2024-12-14,199151.5,198072.84,-0.541625973191262,0
2024-12-15,205404.0,209735.61,2.1088242561001724,0
2024-12-16,183651.5,189391.78,3.1256380971568465,0
2024-12-17,200756.5,213337.92,6.267005987352836,0
2024-12-18,210353.0,214799.05,2.113612296948464,0
2024-12-19,212444.5,214905.17,1.1582657470539326,0
2024-12-20,193336.0,195573.02,1.157061087950506,0
2024-12-21,201177.5,203443.11,1.1261743360962306,0
2024-12-22,211997.0,213178.89,0.5575034670301848,0
2024-12-23,210205.5,213244.16,1.445564578472025,0
2024-12-24,211020.5,213223.81,1.0441224904689461,0
2024-12-25,210228.5,209655.61,-0.27250854427444127,0
2024-12-26,212649.5,215401.92,1.2943467419392007,0
2024-12-27,193638.0,196497.89,1.4769263393548782,0
2024-12-28,199911.0,205729.77,2.910678064238592,0
2024-12-29,214038.0,216462.67,1.1328230851531007,0
2024-12-30,216015.0,218109.64,0.9696736916417814,0
2024-12-31,214678.0,218382.53,1.7256222109391706,0
2025-01-01,212910.0,213619.1,0.33304858860552233,0
2025-01-02,214761.5,212612.64,-1.000579421823744,0
2025-01-03,195279.0,196127.94,0.4347305649865074,0
2025-01-04,204101.0,207320.77,1.5775354481359694,1
2025-01-05,215784.5,220347.75,2.1147255711137625,1
2025-01-06,219057.0,221903.02,1.2992123625357843,1
2025-01-07,218883.0,222303.33,1.5626284933046408,1
2025-01-08,218569.5,222353.8,1.7313929322252175,0
2025-01-09,218816.0,222501.42,1.6842561215816065,1
2025-01-10,198140.5,199967.03,0.9218363989189404,1
2025-01-11,208899.5,212013.3,1.4905717222875037,0
2025-01-12,221731.0,225259.72,1.5914413185346143,1
2025-01-13,225756.0,225541.33,-0.09509021908609139,0
2025-01-14,225380.0,225722.72,0.1520626275623327,1
2025-01-15,224029.0,225052.94,0.4570557829566724,1
2025-01-16,227748.0,227647.39,-0.044175744682717344,0
2025-01-17,206521.0,206168.34,-0.17076047956382512,0
2025-01-18,215800.0,216206.02,0.18814440454124615,1
2025-01-19,226700.5,227958.9,0.5550963716445256,1
2025-01-20,226376.5,228584.8,0.975497401452885,1
2025-01-21,226668.0,230408.61,1.6502591345050943,1
2025-01-22,226766.5,231961.4,2.2908614147151285,1
2025-01-23,227583.5,231263.4,1.616947735666252,1
2025-01-24,207024.0,210449.08,1.6544352949416474,1
2025-01-25,218736.5,220876.89,0.9785246746656373,1
2025-01-26,227595.0,232684.78,2.2363326303301845,1
2025-01-27,229973.5,234076.53,1.7841321934918497,1
2025-01-28,231406.5,234358.17,1.2755354214337045,1
2025-01-29,230956.5,234467.05,1.5200034963293918,1
2025-01-30,231681.0,237042.48,2.314166623503877,1
2025-01-31,213545.0,214113.89,0.2664031585848381,1
2025-02-01,223911.0,228737.45,2.155523009142035,1
2025-02-02,232598.0,235043.77,1.0514989918227968,1
2025-02-03,232132.5,238176.62,2.60373924375088,1
2025-02-04,234083.5,237006.1,1.2485261669447079,1
2025-02-05,237184.5,241255.97,1.7165829765435792,1
2025-02-06,238744.0,244671.31,2.4827063716784448,1
2025-02-07,214288.5,217359.4,1.433070953410942,1
2025-02-08,220671.0,222966.4,1.0401938859206705,1
2025-02-09,231351.0,236605.92,2.2714065964702934,1
2025-02-10,233158.5,237584.53,1.8982928994653925,1
2025-02-11,235926.0,239276.27,1.4200493481006715,1
2025-02-12,239326.5,244319.9,2.086441012591589,1
2025-02-13,246249.0,247424.17,0.4772290953465763,1
2025-02-14,219325.5,220409.77,0.4943636854811695,1
2025-02-15,204816.0,227207.97,10.932724372119363,0
2025-02-16,234676.0,242644.12,3.3953727692648483,1
2025-02-17,246588.5,248031.83,0.5853185063374733,1
2025-02-18,252419.5,252941.17,0.20666861118099344,1
2025-02-19,252448.0,252191.61,-0.10156175727278338,1
2025-02-20,252696.16666666663,254723.3,0.8022006170783635,1
2025-02-21,230302.3333333333,231277.77,0.4235442505286624,1
2025-02-22,229871.0,248071.56,7.917728856619588,1
2025-02-23,241365.0,246593.34,2.1661565471381428,1
2025-02-24,248717.5,258451.52,3.9136834460783865,1
2025-02-25,253998.5,256409.4,0.9491812943777322,1
2025-02-26,255123.0,254088.39,-0.4055335563630136,1
2025-02-27,253571.0,256431.42,1.1280556037559508,1
2025-02-28,240859.0,235401.34,-2.265913355946836,1
2025-03-01,261090.0,254000.19,-2.71546688881229,0
2025-03-02,276423.5,275292.9,-0.4090078267585784,1
2025-03-03,279271.5,275115.47,-1.4881687712494873,1
2025-03-04,275416.5,272771.28,-0.9604430925525542,0
2025-03-05,269013.5,270621.2,0.5976233534748188,0
2025-03-06,268214.0,267701.6,-0.191043812030689,1
2025-03-07,244606.5,244276.6,-0.13487223356697386,0
2025-03-08,255400.5,255721.72,0.12577060342482405,1
2025-03-09,276320.5,272470.47,-1.3933208900533955,0
2025-03-10,283785.0,278709.06,-1.7886560248075112,1
2025-03-11,286144.0,286090.12,-0.018827932789089452,1
2025-03-12,291856.5,289318.94,-0.8694555372246282,1
2025-03-13,303163.5,303696.78,0.1759054932404469,1
2025-03-14,298045.5,297812.5,-0.07817598319719288,1
2025-03-15,315847.0,315225.4,-0.19680217003802403,1
2025-03-16,326756.5,331057.3,1.316213296445512,1
2025-03-17,318728.0,322805.1,1.2791765235561359,1
2025-03-18,317319.0,321596.56,1.3480322640623488,1
2025-03-19,319012.5,320629.78,0.5069648524744341,1
2025-03-20,316357.5,318344.94,0.6282251882759216,1
2025-03-21,276318.0,275751.4,-0.2050513357797934,1
2025-03-22,268482.5,272819.9,1.6155266171910654,1
2025-03-23,280328.0,284919.3,1.6378358565680262,0
2025-03-24,286582.0,290577.94,1.3943435037790275,0
